callsign,valid_from,valid_to,days,origin,departure_time,destination,flight_time,flight_rules,aircraft_type,rvsm,equipment,pbn,route,alt,eet,performance,operator,remark
AZU4598,310725,060825,1234567,SBCF,1140,SBRB,0326,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0454F360 MIMIP UZ8 MABMA DCT OREGI | N0453F380 DCT UGAXO UM775 BUTKA DCT,,EET/SBAZ0114,,,
AZU4604,310725,060825,1234567,SBCF,0200,SBRF,0210,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F390 ILPIR UZ23 ANBEX,,EET/SBRE0024,,,
AZU4615,310725,060825,123457,SBGV,1835,SBCF,0049,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F180 PULKU DCT NIPDA,,EET/SBBS0012,,,
AZU4626,030825,030825,7,SBSP,2310,SBRF,0251,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F370 NUXEL UZ23 ANBEX,,EET/SBRE0055,,,
AZU4647,310725,060825,1234567,SBBR,0755,SBRF,0210,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0447F390 EPDEP UZ78 NETBA UZ79 MUDAR,,EET/SBRE0029,,,
AZU4652,310725,060825,123457,SBKP,2020,SBSR,0103,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0262F180 KP179 DCT,,,,,
AZU4653,310725,060825,12345,SBGV,1540,SBCF,0049,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F180 PULKU DCT NIPDA,,EET/SBBS0012,,,
AZU4662,310725,060825,234567,SBSP,0055,SBRF,0251,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F370 NUXEL UZ23 ANBEX,,EET/SBRE0055,,,
AZU4667,310725,020825,46,SBKP,1900,SBCF,0050,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0432F370 KONVI UZ23 KIBAP,,,,,
AZU4667,010825,010825,5,SBKP,1905,SBCF,0050,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0432F370 KONVI UZ23 KIBAP,,,,,
AZU4670,310725,060825,1234567,SBKP,0205,SBUL,0100,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F170 KP179 DCT,,,,,
AZU4673,020825,060825,12367,SBCF,1130,SBBR,0103,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0465F380 GIMPO UZ33 OPGOL,,,,,
AZU4680,020825,050825,26,SBKP,1550,SBJI,0254,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0445F380 VUPOG UM417 EVRIV DCT RODAD DCT ANGOV DCT BUVAG DCT,,EET/SBAZ0118,,,
AZU4696,310725,020825,46,SBBR,1830,SBKP,0118,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F390 GEBEP UZ2 ENTIT,,,,,
AZU4696,030825,060825,1237,SBBR,1835,SBKP,0118,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F390 GEBEP UZ2 ENTIT,,,,,
AZU4696,010825,010825,5,SBBR,1830,SBKP,0118,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0438F390 GEBEP UZ2 ENTIT,,,,,
AZU4698,020825,060825,36,SBKP,1135,SBVT,0113,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0436F370 UREMI UZ42 IMDAB DCT SEGLI DCT TODET,,EET/SBCW0009,,,
AZU4698,310725,050825,12457,SBKP,1135,SBVT,0113,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F390 UREMI UZ42 IMDAB DCT SEGLI DCT TODET,,EET/SBCW0009,,,
AZU4702,010825,010825,5,SBKP,1100,SBBR,0116,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU4702,310725,060825,123467,SBKP,1100,SBBR,0116,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU4709,310725,060825,1234567,SBIP,1530,SBCF,0037,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0265F120 DANKU DCT NIPDA,,,,,
AZU4711,310725,060825,1234567,SBKP,0225,SBRP,0049,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F170 GERTU DCT,,,,,
AZU4712,310725,060825,1234567,SBKP,1145,SBFZ,0302,IS,A21N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1, | N0450F360 ISMOB UZ26 BIXAN | N0450F370 UM654 DOTKU,,EET/SBRE0113,,,
AZU4721,310725,060825,123456,SBBR,1750,SBCF,0054,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0470F370 GEPMO UZ35 REINA,,,,,
AZU4729,310725,060825,1234567,SBCF,1200,SBBE,0242,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0454F370 RORIP UZ3 DAPTA DCT IROMU,,EET/SBRE0056,,,
AZU4743,020825,020825,6,SBCF,1620,SBSP,0105,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0432F340 ANDEM UZ30 ENTIT,,,,,
AZU4745,040825,060825,123,SBKP,1510,SBBR,0116,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU4761,310725,310725,4,SBKP,1615,SBVT,0113,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F390 UREMI UZ42 IMDAB DCT SEGLI DCT TODET,,EET/SBCW0009,,,
AZU4761,040825,060825,13,SBKP,1610,SBVT,0113,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F390 UREMI UZ42 IMDAB DCT SEGLI DCT TODET,,EET/SBCW0009,,,
AZU4765,310725,060825,12345,SBKP,1125,SBSV,0152,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0453F370 KONVI UZ23 EDNOB,,EET/SBRE0050,,,
AZU4765,020825,030825,67,SBKP,1130,SBSV,0152,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0453F370 KONVI UZ23 EDNOB,,EET/SBRE0050,,,
AZU4766,040825,060825,123,SBRP,1505,SBKP,0041,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0262F160 ESMIV DCT UTLOT,,,,,
AZU4769,310725,010825,45,SBGR,1130,SBCY,0200,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0435F380 GERTU UL201 PANAB DCT RODAD UM775 SINIP,,EET/SBAZ0126,,,
AZU4769,040825,060825,123,SBGR,1130,SBCY,0200,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0441F380 GERTU UL201 PANAB DCT RODAD UM775 SINIP,,EET/SBAZ0121,,,
AZU4769,020825,020825,6,SBGR,1105,SBCY,0200,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0435F380 GERTU UL201 PANAB DCT RODAD UM775 SINIP,,EET/SBAZ0126,,,
AZU4790,030825,060825,37,SBKP,1540,SSKW,0252,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0445F380 VUPOG UM417 EVRIV DCT RODAD DCT DABUN DCT,,EET/SBAZ0122,,,
AZU4794,010825,060825,12357,SBSR,2205,SBKP,0101,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0258F170 DCT LOKAR DCT UTLOT,,,,,
AZU4794,310725,310725,4,SBSR,2210,SBKP,0101,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0258F170 DCT LOKAR DCT UTLOT,,,,,
AZU4797,310725,010825,45,SBSP,1745,SBCF,0054,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0428F350 NUXEL UZ23 KIBAP,,,,,
AZU4797,040825,060825,123,SBSP,1745,SBCF,0052,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0448F370 NUXEL UZ23 KIBAP,,,,,
AZU4797,030825,030825,7,SBSP,1735,SBCF,0052,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0448F370 NUXEL UZ23 KIBAP,,,,,
AZU4799,030825,030825,7,SBCF,2015,SBBR,0103,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0465F380 GIMPO UZ33 OPGOL,,,,,
AZU4799,020825,060825,1236,SBCF,2015,SBBR,0103,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0465F380 GIMPO UZ33 OPGOL,,,,,
AZU4799,310725,310725,4,SBCF,2020,SBBR,0103,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0465F380 GIMPO UZ33 OPGOL,,,,,
AZU4799,010825,010825,5,SBCF,2055,SBBR,0103,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0465F380 GIMPO UZ33 OPGOL,,,,,
AZU4800,040825,060825,123,SBCF,1255,SBCJ,0214,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0452F380 GIMPO DCT ISINA UL576 OPNUP DCT,,EET/SBAZ0134,,,
AZU4800,010825,010825,5,SBCF,1255,SBCJ,0213,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0447F380 GIMPO DCT ISINA UL576 OPNUP DCT,,EET/SBAZ0132,,,
AZU4800,310725,310725,4,SBCF,1300,SBCJ,0213,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0447F380 GIMPO DCT ISINA UL576 OPNUP DCT,,EET/SBAZ0132,,,
AZU4800,030825,030825,7,SBCF,1240,SBCJ,0213,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0447F380 GIMPO DCT ISINA UL576 OPNUP DCT,,EET/SBAZ0132,,,
AZU4800,020825,020825,6,SBCF,1355,SBCJ,0213,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0447F380 GIMPO DCT ISINA UL576 OPNUP DCT,,EET/SBAZ0132,,,
AZU4808,010825,040825,15,SBKP,1600,SBVH,0234,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0444F380 VUPOG UM417 EVRIV DCT RODAD DCT EDVEP DCT,,EET/SBAZ0118,,,
AZU4814,310725,060825,1234567,SBUL,1345,SBCF,0116,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0259F170 ISRIK DCT VULAD,,,,,
AZU4817,310725,060825,1234567,SBGO,0415,SBPJ,0109,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0437F330 LODUV DCT EROPO DCT LIBEC,,,,,
AZU4819,310725,040825,14567,SBPJ,0650,SBGO,0106,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0440F380 EGDOD DCT TOLAT,,,,,
AZU4819,050825,060825,23,SBPJ,0635,SBGO,0106,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0440F380 EGDOD DCT TOLAT,,,,,
AZU4825,310725,060825,12345,SBKP,2125,SBRP,0049,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F170 GERTU DCT,,,,,
AZU4825,030825,030825,7,SBKP,2120,SBRP,0049,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F170 GERTU DCT,,,,,
AZU4840,310725,060825,1234567,SBKP,1125,SBBE,0309,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0453F380 ISMOB UZ26 IROMU,,EET/SBAZ0157,,,
AZU4851,310725,050825,124567,SBCF,1540,SBKG,0216,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0440F390 ILPIR UZ23 TEMEV UZ73 OPMUD DCT,,EET/SBRE0032,,,
AZU4852,010825,010825,5,SBCF,2055,SBSV,0122,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0442F370 ILPIR UZ23 EDNOB,,EET/SBRE0024,,,
AZU4852,310725,310725,4,SBCF,2035,SBSV,0122,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0442F370 ILPIR UZ23 EDNOB,,EET/SBRE0024,,,
AZU4852,040825,060825,123,SBCF,2055,SBSV,0122,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0452F370 ILPIR UZ23 EDNOB,,EET/SBRE0024,,,
AZU4853,310725,060825,1234567,SBKP,0120,SBVT,0113,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F390 UREMI UZ42 IMDAB DCT SEGLI DCT TODET,,EET/SBCW0009,,,
AZU4866,310725,310725,4,SBKP,1620,SBGO,0113,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0452F360 ISMOB DCT CORVO,,,,,
AZU4866,010825,060825,1235,SBKP,1615,SBGO,0113,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0452F360 ISMOB DCT CORVO,,,,,
AZU4866,020825,020825,6,SBKP,1555,SBGO,0113,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0450F360 ISMOB DCT CORVO,,,,,
AZU4867,020825,020825,6,SBGO,1805,SBKP,0114,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0451F340 ESBOD DCT ISISA DCT UTLOT,,,,,
AZU4867,310725,060825,12345,SBGO,1825,SBKP,0114,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0451F340 ESBOD DCT ISISA DCT UTLOT,,,,,
AZU4871,310725,060825,1234567,SBKP,1700,SBSL,0305,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0446F380 ISMOB UZ26 BIXAN | N0450F390 DCT EGDUP DCT NECTO DCT KILAB DCT KOKBO DCT ISKAB DCT,,EET/SBRE0127,,,
AZU4876,030825,030825,7,SBSR,1605,SBKP,0101,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0258F170 DCT LOKAR DCT UTLOT,,,,,
AZU4876,310725,060825,123456,SBSR,1600,SBKP,0101,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0258F170 DCT LOKAR DCT UTLOT,,,,,
AZU4890,050825,060825,23,SBCF,1600,SBRF,0210,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F390 ILPIR UZ23 ANBEX,,EET/SBRE0024,,,
AZU4903,030825,030825,7,SBCF,1030,SBPV,0335,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0427F340 GIMPO UZ33 UGUGA UZ40 ISOLU DCT,,EET/SBAZ0149,,,
AZU4907,310725,060825,123456,SBKP,1415,SBSR,0105,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0262F180 OBLUG DCT LOKAR Z65 NIGRA DCT,,,,,
AZU4907,030825,030825,7,SBKP,1420,SBSR,0105,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0262F180 OBLUG DCT LOKAR Z65 NIGRA DCT,,,,,
AZU4912,310725,060825,12345,SBCF,1550,SBIL,0112,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0427F350 KADOR UZ14 DALOX,,EET/SBRE0025,,,
AZU4917,310725,310725,4,SBCF,1655,SBKP,0058,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0400F280 ANDEM UZ30 ENTIT,,,,,
AZU4917,040825,050825,12,SBCF,1700,SBKP,0058,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0400F280 ANDEM UZ30 ENTIT,,,,,
AZU4917,020825,020825,6,SBCF,1705,SBKP,0058,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0400F280 ANDEM UZ30 ENTIT,,,,,
AZU4919,310725,310725,4,SBKP,1500,SBUL,0117,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F170 UKBEV DCT,,,,,
AZU4920,310725,310725,4,SBUL,1700,SBKP,0119,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F180 DCT LOKAR Z65 UTLOT,,,,,
AZU4922,310725,060825,123457,SBUL,2205,SBCF,0116,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0259F170 ISRIK DCT VULAD,,,,,
AZU4930,310725,060825,12345,SBKP,1555,SBPS,0132,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0459F370 KONVI UZ23 KIBAP DCT NITLU UZ16 OSUNO,,EET/SBBS0042,,,
AZU4942,310725,060825,1234567,SBKP,0915,SBSV,0152,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0453F370 KONVI UZ23 EDNOB,,EET/SBRE0050,,,
AZU4957,020825,060825,12367,SBKP,1705,SBCF,0050,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0432F370 KONVI UZ23 KIBAP,,,,,
AZU4978,310725,010825,45,SBKP,0150,SBBR,0116,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU4978,020825,060825,12367,SBKP,0155,SBBR,0116,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU5007,030825,060825,1237,SBKP,1620,SBBR,0116,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU5007,310725,310725,4,SBKP,1610,SBBR,0116,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU5007,020825,020825,6,SBKP,1605,SBBR,0116,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU5007,010825,010825,5,SBKP,1610,SBBR,0116,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0439F380 ISMOB UZ26 AZOIC,,,,,
AZU5008,310725,010825,45,SBCF,1535,SBSP,0103,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0459F320 ANDEM UZ30 ENTIT,,,,,
AZU5008,030825,030825,7,SBCF,1515,SBSP,0105,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0432F340 ANDEM UZ30 ENTIT,,,,,
AZU5008,040825,060825,123,SBCF,1535,SBSP,0105,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0432F340 ANDEM UZ30 ENTIT,,,,,
AZU5020,310725,060825,12345,SBSP,1425,SBCF,0052,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0448F370 NUXEL UZ23 KIBAP,,,,,
AZU5020,030825,030825,7,SBSP,1325,SBCF,0052,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0448F370 NUXEL UZ23 KIBAP,,,,,
AZU5022,020825,020825,6,SBBR,1735,SBSP,0120,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0435F350 GEBEP UZ2 ENTIT,,,,,
AZU5022,310725,060825,12345,SBBR,1755,SBSP,0124,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0440F390 GEBEP UZ2 ENTIT,,,,,
AZU5031,020825,030825,67,SBGR,1735,SBCF,0051,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0404F310 NUXEL UZ23 KIBAP,,,,,
AZU5031,310725,060825,12345,SBGR,1655,SBCF,0051,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0404F310 NUXEL UZ23 KIBAP,,,,,
AZU5033,310725,060825,1234567,SBCF,1135,SNBR,0204,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1," | N0256F170 RORIP DCT EPGEM DCT -13.00000,-44.78333 DCT",,EET/SBRE0120,,,
AZU5046,020825,030825,67,SBBR,0825,SBKP,0118,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F390 GEBEP UZ2 ENTIT,,,,,
AZU5046,310725,060825,12345,SBBR,0800,SBKP,0118,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F390 GEBEP UZ2 ENTIT,,,,,
AZU5047,310725,060825,1234567,SBKP,1200,SBAU,0118,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0259F180 OBLUG DCT,,,,,RMK/AD
AZU5062,030825,030825,7,SBCF,1050,SBGR,0059,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0467F360 PUDVA UZ21 VUNOX,,,,,
AZU5064,040825,050825,12,SBGO,0945,SBKP,0114,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0451F340 ESBOD DCT ISISA DCT UTLOT,,,,,
AZU5064,060825,060825,3,SBGO,1015,SBKP,0114,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0451F340 ESBOD DCT ISISA DCT UTLOT,,,,,
AZU5064,310725,030825,457,SBGO,1000,SBKP,0114,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0451F340 ESBOD DCT ISISA DCT UTLOT,,,,,
AZU5068,020825,060825,12367,SBBR,1330,SBCF,0054,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0470F370 GEPMO UZ35 REINA,,,,,
AZU5070,310725,060825,12345,SBSP,2105,SBCF,0052,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0448F370 NUXEL UZ23 KIBAP,,,,,
AZU5071,310725,060825,12345,SBSP,1850,SBCF,0052,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0448F370 NUXEL UZ23 KIBAP,,,,,
AZU5080,310725,060825,123457,SBCF,1710,SBGV,0038,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0260F130 ILPIR DCT PULKU DCT,,EET/SBRE0024,,,
AZU5089,310725,060825,123456,SBCF,1110,SBRF,0210,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F390 ILPIR UZ23 ANBEX,,EET/SBRE0024,,,
AZU5092,310725,060825,1234567,SBGR,1940,SBRF,0241,IS,A21N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1, | N0455F370 VUMEV UZ14 AKPAS DCT ANBEX,,EET/SBRE0051,,,
AZU6000,310725,060825,12345,SBSP,1205,SBBR,0127,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F400 GERTU UZ25 PABIN,,,,,
AZU6001,310725,060825,12345,SBBR,1240,SBSP,0124,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0440F390 GEBEP UZ2 ENTIT,,,,,
AZU6002,020825,020825,6,SBSP,1515,SBBR,0130,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0436F340 GERTU UZ25 PABIN,,,,,
AZU6002,310725,060825,12345,SBSP,1510,SBBR,0127,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F400 GERTU UZ25 PABIN,,,,,
AZU6004,310725,060825,12345,SBSP,1720,SBBR,0127,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F400 GERTU UZ25 PABIN,,,,,
AZU6005,310725,060825,12345,SBBR,1950,SBSP,0124,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0440F390 GEBEP UZ2 ENTIT,,,,,
AZU6007,030825,030825,7,SBSP,2300,SBBR,0127,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F400 GERTU UZ25 PABIN,,,,,
AZU6008,310725,060825,12345,SBSP,2225,SBBR,0127,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F400 GERTU UZ25 PABIN,,,,,
AZU6008,030825,030825,7,SBSP,0005,SBBR,0127,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0438F400 GERTU UZ25 PABIN,,,,,
AZU6009,310725,060825,12345,SBBR,2305,SBSP,0124,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0440F390 GEBEP UZ2 ENTIT,,,,,
AZU6009,030825,030825,7,SBBR,2005,SBSP,0120,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0435F350 GEBEP UZ2 ENTIT,,,,,
