callsign,valid_from,valid_to,days,origin,departure_time,destination,flight_time,flight_rules,aircraft_type,rvsm,equipment,pbn,route,alt,eet,performance,operator,remark
ACN5195,310725,050825,24,SNJM,1755,SBCF,0039,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F085 DCT -20.00000,-42.51667 | N0155F100 IFR DCT",,EET/SBBS0009,PER/A,OPR/AZUL,RMK/JAH
ACN5198,030825,030825,7,SBKP,1805,SBAQ,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT GENBI DCT MEVUT | N0155F070 DCT,,,PER/A,OPR/AZUL,
ACN5198,310725,060825,12345,SBKP,1645,SBAQ,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT GENBI DCT MEVUT | N0155F070 DCT,,,PER/A,OPR/AZUL,
ACN5199,030825,030825,7,SBAQ,2005,SBKP,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT MEVUT | N0155F090 DCT UTLOT,,,PER/A,OPR/AZUL,
ACN5199,310725,060825,12345,SBAQ,1815,SBKP,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT MEVUT | N0155F090 DCT UTLOT,,,PER/A,OPR/AZUL,
ACN5216,020825,030825,67,SBKP,1425,SBAQ,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT GENBI DCT MEVUT | N0155F070 DCT,,,PER/A,OPR/AZUL,
ACN5216,010825,060825,1235,SBKP,1335,SBAQ,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT GENBI DCT MEVUT | N0155F070 DCT,,,PER/A,OPR/AZUL,
ACN5216,310725,310725,4,SBKP,1330,SBAQ,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT GENBI DCT MEVUT | N0155F070 DCT,,,PER/A,OPR/AZUL,
ACN5217,310725,060825,12345,SBAQ,1505,SBKP,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT MEVUT | N0155F090 DCT UTLOT,,,PER/A,OPR/AZUL,
ACN5217,020825,030825,67,SBAQ,1555,SBKP,0040,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT MEVUT | N0155F090 DCT UTLOT,,,PER/A,OPR/AZUL,
ACN5247,030825,030825,7,SBCF,1520,SNTO,0110,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F090 DCT ARUDI DCT -18.03333,-41.71667 | N0140F075 VFR DCT",RALT/F100,EET/SBRE0040,PER/A,OPR/AZUL,RMK/JAH
ACN5247,010825,060825,135,SBCF,1620,SNTO,0110,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F090 DCT ARUDI DCT -18.03333,-41.71667 | N0140F075 VFR DCT",RALT/F100,EET/SBRE0040,PER/A,OPR/AZUL,RMK/JAH
ACN5252,310725,050825,246,SBCF,1505,SBVG,0055,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F100 DCT VUKEM DCT,,,PER/A,OPR/AZUL,RMK/JAH
ACN5253,310725,050825,246,SBVG,1655,SBCF,0100,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F090 DCT VUKEM DCT,,,PER/A,OPR/AZUL,RMK/JAH
ACN5258,050825,050825,2,SBCF,1725,SNZR,0125,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F100 DCT MUBOL DCT -17.55000,-46.55000 | N0155F085 VFR DCT",RALT/F090,,PER/A,OPR/AZUL,RMK/JAH
ACN5258,310725,310725,4,SBCF,1720,SNZR,0125,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F100 DCT MUBOL DCT -17.55000,-46.55000 | N0155F085 VFR DCT",RALT/F090,,PER/A,OPR/AZUL,RMK/JAH
ACN5259,050825,050825,2,SNZR,1945,SBCF,0130,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F075 DCT -17.55000,-46.55000 | N0155F090 IFR DCT MUBOL DCT",,,PER/A,OPR/AZUL,RMK/JAH
ACN5259,310725,310725,4,SNZR,1935,SBCF,0130,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F075 DCT -17.55000,-46.55000 | N0155F090 IFR DCT MUBOL DCT",,,PER/A,OPR/AZUL,RMK/JAH
ACN5341,040825,060825,13,SBBW,2050,SBCY,0120,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F085 DCT MASVO | N0155F100 IFR DCT MAGDA DCT,,EET/SBAZ0021,PER/A,OPR/AZUL,RMK/JAH
ACN5341,310725,310725,4,SBBW,1335,SBCY,0120,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F085 DCT MASVO | N0155F100 IFR DCT MAGDA DCT,,EET/SBAZ0021,PER/A,OPR/AZUL,RMK/JAH
ACN5341,010825,010825,5,SBBW,2035,SBCY,0120,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F085 DCT MASVO | N0155F100 IFR DCT MAGDA DCT,,EET/SBAZ0021,PER/A,OPR/AZUL,RMK/JAH
ACN5341,050825,050825,2,SBBW,2105,SBCY,0120,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1, | N0155F085 DCT MASVO | N0155F100 IFR DCT MAGDA DCT,,EET/SBAZ0021,PER/A,OPR/AZUL,RMK/JAH
AZU2021,310725,060825,234567,SBKP,1330,SBEG,0314,IS,A321/M,SW/C,EQPT/SDFGIRW,PBN/A1B1C1D1O2S1, | N0462F340 VUPOG UM417 UMGUP DCT IRUMO,,EET/SBAZ0125,,,
AZU2025,040825,040825,1,SBKP,1355,SBEG,0314,IS,A321/M,SW/C,EQPT/SDFGIRW,PBN/A1B1C1D1O2S1, | N0462F340 VUPOG UM417 UMGUP DCT IRUMO,,EET/SBAZ0125,,,
AZU2030,020825,060825,36,SBKP,0235,SBEG,0314,IS,A321/M,SW/C,EQPT/SDFGIRW,PBN/A1B1C1D1O2S1, | N0462F340 VUPOG UM417 UMGUP DCT IRUMO,,EET/SBAZ0125,,,
AZU2202,310725,310725,4,SBCF,1330,SBIL,0146,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F170 ILPIR DCT UGIBI DCT DALOX,,EET/SBRE0041,,,
AZU2229,310725,310725,4,SBKP,1000,SBPS,0132,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0459F370 KONVI UZ23 KIBAP DCT NITLU UZ16 OSUNO,,EET/SBBS0042,,,
AZU2231,310725,310725,4,SBUL,1530,SBPS,0130,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0458F370 ISRIK DCT VULAD DCT NIMBI UZ16 OSUNO,,EET/SBRE0046,,,
AZU2233,310725,310725,4,SBRP,2045,SBPS,0130,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0443F370 EGBAL DCT CNF DCT POSMU DCT OSUNO,,EET/SBRE0050,,,
AZU2235,010825,010825,5,SBKP,0240,SBPS,0132,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0459F370 KONVI UZ23 KIBAP DCT NITLU UZ16 OSUNO,,EET/SBBS0042,,,
AZU2237,010825,010825,5,SBGO,1205,SBPS,0129,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0442F370 LODUV DCT MUDBI DCT ATOVU DCT UBNED DCT OSUNO,,EET/SBRE0058,,,
AZU2239,010825,010825,5,SBLO,1845,SBPS,0151,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0448F390 AKTIT UZ65 ANSOK DCT ROBAG DCT CNF DCT POSMU DCT OSUNO,,EET/SBBS0017,,,
AZU2243,020825,020825,6,SBKP,1800,SBPS,0132,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0459F370 KONVI UZ23 KIBAP DCT NITLU UZ16 OSUNO,,EET/SBBS0042,,,
AZU2245,030825,030825,7,SBKP,1005,SBPS,0132,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0459F370 KONVI UZ23 KIBAP DCT NITLU UZ16 OSUNO,,EET/SBBS0042,,,
AZU2247,030825,030825,7,SBGR,1505,SBPS,0136,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0447F370 VUMEV UZ14 NITLU UZ16 OSUNO,,EET/SBBS0038,,,
